"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"511","5th International yoga day celebrations at BEL Main Gate at early morning n people came at 5.30am to make event suc… https://t.co/HW1Vz7yw09",FALSE,0,NA,2019-06-23 17:45:12,TRUE,NA,"1142851108781641729",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jaideepkt",0,FALSE,FALSE,NA,NA
"512","International Yoga Day: 100 <U+0938><U+093E><U+0932> <U+0915><U+0940> Yoga Amma <U+0938><U+0947> <U+092E><U+093F><U+0932><U+093F><U+090F> (BBC Hindi) https://t.co/952nSQIlKb https://t.co/YSsfxeTMjL",FALSE,0,NA,2019-06-23 17:44:56,FALSE,NA,"1142851042561921026",NA,"<a href=""https://sortiwa.com/"" rel=""nofollow"">Sortiwa News</a>","Sortiwa",0,FALSE,FALSE,NA,NA
"513","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:43:53,FALSE,NA,"1142850777871872000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_satyaprakash",1665,TRUE,FALSE,NA,NA
"514","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:42:32,FALSE,NA,"1142850437411790855",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HappiHours",1665,TRUE,FALSE,NA,NA
"515","Students of #balbhavan performing yoga on #5th_International_Yoga_Day various #asanas @nbbdelhi @moayush… https://t.co/mnRXmwx1xD",FALSE,0,NA,2019-06-23 17:41:20,TRUE,NA,"1142850136013512710",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bal_board",0,FALSE,FALSE,NA,NA
"516","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:39:47,FALSE,NA,"1142849747579015169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZankrutAntani",1665,TRUE,FALSE,NA,NA
"517","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:38:53,FALSE,NA,"1142849520763457536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amithshetty_",1665,TRUE,FALSE,NA,NA
"518","RT @OrganoGold: Namaste!  
Celebrate #InternationalDayofYoga with these new trends. 
https://t.co/7eQmq71aaH
#X4Ever",FALSE,0,NA,2019-06-23 17:38:23,FALSE,NA,"1142849396192751635",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PRCPSDVI",1,TRUE,FALSE,NA,NA
"519","Patanjali yoga Samit 5 th International yoga day celebrated sports stadium @ krishanagiri.… https://t.co/lejS729Xr4",FALSE,4,NA,2019-06-23 17:37:50,TRUE,NA,"1142849256941744129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mparas8M",2,FALSE,FALSE,NA,NA
"520","RT @SubhashGhai1: We all <U+2066>@Whistling_Woods<U+2069> celebrated 
#international yoga day 
At campus with 
Students staff faculty 
N paid my thanx to…",FALSE,0,NA,2019-06-23 17:37:40,FALSE,NA,"1142849215376134144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kavitaray9",10,TRUE,FALSE,NA,NA
